Ingreso,Ingreso específico,Valor,Código de entidad,Código de sector,Sector,Entidad,Año,Ingreso_alt,IPC,Valor_25
INGRESOS DEL PRESUPUESTO NACIONAL,RECURSOS DE CAPITAL DE LA NACIÓN,238669900896.0,Nación,Nación,Nación,Nación,2014,RECURSOS DE CAPITAL DE LA NACIÓN,55.21141681319193,432283601240.5562
INGRESOS DEL PRESUPUESTO NACIONAL,CONTRIBUCIONES PARAFISCALES DE LA NACIÓN,1289072421732.0,Nación,Nación,Nación,Nación,2014,CONTRIBUCIONES PARAFISCALES DE LA NACIÓN,55.21141681319193,2334793229620.573
INGRESOS DEL PRESUPUESTO NACIONAL,FONDOS ESPECIALES DE LA NACIÓN,21766888689764.0,Nación,Nación,Nación,Nación,2014,FONDOS ESPECIALES DE LA NACIÓN,55.21141681319193,39424615317176.81
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,13309000000.0,209.0,2.0,Presidencia de la república,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,24105521589.911488
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,8220000000.0,303.0,3.0,Planeación,Unidad administrativa especial  - agencia nacional de contratación pública - colombia compra eficiente,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,14888225070.934889
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,"TASAS, MULTAS Y CONTRIBUCIONES",96562000000.0,324.0,3.0,Planeación,Superintendencia de servicios públicos domiciliarios,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,174894986532.79984
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,25629000000.0,324.0,3.0,Planeación,Superintendencia de servicios públicos domiciliarios,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,46419747000.36378
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,11226000000.0,402.0,4.0,Información estadística,Fondo rotatorio del dane,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,20332751173.517647
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,5000000.0,402.0,4.0,Información estadística,Fondo rotatorio del dane,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,9056097.97502122
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,1968000000.0,402.0,4.0,Información estadística,Fondo rotatorio del dane,2014,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,55.21141681319193,3564480162.9683523
